epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,2168.28,0.62081,0.36069,0.95531,0.69219,0.63156,0.64616,0.40515,1.27091,1.02994,1.47385,0.000193572,0.000193572,0.000193572
161,2178.54,0.60961,0.3521,0.95574,0.69963,0.62224,0.64128,0.39579,1.30733,1.02483,1.49641,0.000189072,0.000189072,0.000189072
162,2188.8,0.61686,0.35674,0.94753,0.67487,0.63677,0.65341,0.40382,1.31301,0.98584,1.48806,0.000184572,0.000184572,0.000184572
163,2199.05,0.61866,0.35631,0.94897,0.70609,0.63871,0.65813,0.40733,1.29516,0.9701,1.46813,0.000180073,0.000180073,0.000180073
164,2209.35,0.60187,0.3491,0.94709,0.70165,0.63983,0.65559,0.40904,1.29927,0.97271,1.47462,0.000175573,0.000175573,0.000175573
165,2219.61,0.60475,0.34618,0.94685,0.69329,0.65218,0.65413,0.40303,1.30719,0.98085,1.50392,0.000171074,0.000171074,0.000171074
166,2229.79,0.59574,0.34911,0.94446,0.67569,0.65272,0.6512,0.40023,1.31254,1.01686,1.52194,0.000166574,0.000166574,0.000166574
167,2240.11,0.617,0.35951,0.94929,0.67777,0.62225,0.64434,0.39549,1.32493,1.04371,1.53378,0.000162075,0.000162075,0.000162075
168,2250.35,0.58886,0.33373,0.93132,0.67558,0.61934,0.64258,0.39358,1.3195,1.03896,1.52676,0.000157575,0.000157575,0.000157575
169,2260.65,0.59025,0.34023,0.93216,0.67377,0.63455,0.64195,0.39602,1.31822,1.0112,1.5272,0.000153076,0.000153076,0.000153076
170,2270.93,0.61178,0.3476,0.94297,0.69218,0.63459,0.64437,0.39416,1.30782,1.02766,1.52491,0.000148576,0.000148576,0.000148576
171,2281.32,0.5977,0.34688,0.94996,0.68844,0.61468,0.6355,0.38985,1.32009,1.08115,1.5269,0.000144077,0.000144077,0.000144077
172,2291.6,0.5589,0.33637,0.92284,0.66528,0.60682,0.62425,0.3887,1.32074,1.09624,1.52782,0.000139577,0.000139577,0.000139577
173,2301.89,0.58875,0.3467,0.93452,0.69555,0.61433,0.6344,0.3909,1.31821,1.06092,1.53882,0.000135077,0.000135077,0.000135077
174,2312.17,0.57045,0.32766,0.92432,0.70243,0.62968,0.65909,0.3981,1.30041,0.99035,1.5221,0.000130578,0.000130578,0.000130578
175,2322.41,0.58135,0.33864,0.9396,0.7047,0.62724,0.64613,0.40095,1.29102,0.97069,1.50664,0.000126078,0.000126078,0.000126078
176,2332.68,0.57302,0.33376,0.92642,0.71389,0.63756,0.64974,0.40298,1.29772,0.94688,1.51057,0.000121579,0.000121579,0.000121579
177,2342.96,0.57838,0.32594,0.93698,0.71713,0.63866,0.65301,0.4024,1.306,0.93853,1.53129,0.000117079,0.000117079,0.000117079
178,2353.2,0.56016,0.32872,0.92254,0.69415,0.6433,0.65267,0.40291,1.30779,0.9367,1.53584,0.00011258,0.00011258,0.00011258
